Spec,beta,se,pval,lo,hi,sig
OLD: oa_dummy×post [endogenous],-0.10819751120011836,0.0483544657128734,0.025403098597104493,-0.20305177270764282,-0.0133432496925939,*
NEW: pre_field_oa×post [exogenous],-0.17166389061734286,0.08124320085674079,0.034778885298770455,-0.3310341515883371,-0.012293629646348614,*
NEW-bin: high_exp×post [binary exog],-0.15238723954985017,0.05760729642467857,0.008252926845226822,-0.265392263579165,-0.03938221552053531,**
