platform_maturity,knowledge_type_f,n,oa_eff,oa_lo,oa_hi,oa_rate,pval,sig
"Emerging platform
(low pre-OA rate)",Incremental,5007,0.0703,0.0513,0.0893,0.5414,0,***
"Emerging platform
(low pre-OA rate)",Interdisciplinary,1132,0.0051,-0.0286,0.0387,0.5645,0.7681,
"Emerging platform
(low pre-OA rate)",Disruptive,3120,0.0192,-0.0095,0.0479,0.4647,0.1889,
"Mature platform
(high pre-OA rate)",Incremental,1835,0.0248,-0.0273,0.0769,0.8158,0.3502,
"Mature platform
(high pre-OA rate)",Interdisciplinary,237,0.117,0.0281,0.2058,0.5443,0.0101,*
"Mature platform
(high pre-OA rate)",Disruptive,714,-0.0741,-0.1616,0.0133,0.6947,0.0963,.
